empno,password,bankcd,departmentcd,gradecd,usertype,name,gender,mail,tel,zipcode,addr,addrdetail,regno,school,entrydate,retiredate,yearsalary,salary,retirementpay,account,memo,retireyn,restyn,privateinsurance,paymentst,totalal,useal,retirenote
24,pw24,B002,D002,G001,ROLE_A,홍길동24,여,qvlds1377@naver.com,01012340023,13503,"경기 성남시 분당구 대왕판교로 500",24층,9501011234590,한국대학교,2022-10-05,NULL,30000000,470,NULL,100099000024,NULL,n,n,NULL,NULL,NULL,NULL,NULL
25,pw25,B002,D002,G001,ROLE_B,홍길동25,여,qvlds1378@naver.com,01012340024,13504,"경기 성남시 분당구 대왕판교로 501",25층,9501011234591,한국대학교,2022-10-05,NULL,30000000,480,NULL,100099000025,NULL,n,n,NULL,NULL,NULL,NULL,NULL
26,pw26,B002,D002,G003,ROLE_B,김종현,여,mail26@mail.com,01012340025,13505,"경기 성남시 분당구 대왕판교로 502",26층,9501011234592,한국대학교,2022-10-05,NULL,30000000,490,NULL,100099000026,NULL,n,n,NULL,NULL,NULL,NULL,NULL
27,pw27,B005,D002,G001,ROLE_A,홍길동27,여,mail27@mail.com,01012340026,13506,"경기 성남시 분당구 대왕판교로 503",27층,9501011234593,서울대학교,2022-10-05,NULL,30000000,500,NULL,100099000027,NULL,n,n,NULL,NULL,NULL,NULL,NULL
28,pw28,B005,D002,G001,ROLE_A,강재근,여,mail28@mail.com,01012340027,13507,"경기 성남시 분당구 대왕판교로 504",28층,9501011234594,서울대학교,2022-10-05,NULL,30000000,510,NULL,100099000028,"컴활2급 보유",n,n,NULL,NULL,NULL,NULL,NULL
29,pw29,B005,D002,G002,ROLE_A,홍길동29,여,mail29@mail.com,01012340028,13508,"경기 성남시 분당구 대왕판교로 505",29층,9501011234595,수원대학교,2022-10-05,NULL,30000000,520,NULL,100099000029,"정보처리기사 보유",n,n,NULL,NULL,NULL,NULL,NULL
30,pw30,B005,D002,G001,ROLE_A,김종현,여,mail30@mail.com,01012340029,13509,"경기 성남시 분당구 대왕판교로 506",30층,9501011234596,아주대학원,2022-10-05,NULL,30000000,530,NULL,100099000030,NULL,n,n,NULL,NULL,NULL,NULL,NULL
31,pw31,B005,D002,G002,ROLE_A,홍길동31,남,mail31@mail.com,01012340030,13510,"경기 성남시 분당구 대왕판교로 507",31층,9501011234597,서울대학교,2022-10-05,NULL,30000000,540,NULL,100099000031,NULL,n,n,NULL,NULL,NULL,NULL,NULL
32,pw32,B005,D002,G001,ROLE_B,홍길동32,남,mail32@mail.com,01012340031,13511,"경기 성남시 분당구 대왕판교로 508",32층,9501011234598,중졸,2022-10-05,NULL,30000000,550,NULL,100099000032,NULL,n,n,NULL,NULL,NULL,NULL,NULL
33,pw33,B004,D002,G001,ROLE_A,김연준,남,mail33@mail.com,01012340032,13512,"경기 성남시 분당구 대왕판교로 509",33층,9501011234599,서울대학교,2022-10-05,NULL,31000000,560,NULL,100099000033,"컴활2급 보유",n,n,NULL,NULL,NULL,NULL,NULL
34,pw34,B004,D002,G001,ROLE_B,홍길동34,남,mail34@mail.com,01012340033,13513,"경기 성남시 분당구 대왕판교로 510",34층,9501011234600,서울대학교,2022-10-05,NULL,32000000,570,NULL,100099000034,"정보처리기사 보유",n,n,NULL,NULL,NULL,NULL,NULL
35,pw35,B004,D002,G001,ROLE_A,홍길동35,남,mail35@mail.com,01012340034,13514,"경기 성남시 분당구 대왕판교로 511",35층,9501011234601,한국대학교,2022-10-05,NULL,33000000,580,NULL,100099000035,NULL,n,n,NULL,NULL,NULL,NULL,NULL
36,pw36,B004,D002,G001,ROLE_A,홍길동36,남,mail36@mail.com,01012340035,13515,"경기 성남시 분당구 대왕판교로 512",36층,9501011234602,한국대학교,2019-12-12,2020-12-25,34000000,590,NULL,100099000036,NULL,y,n,NULL,NULL,NULL,NULL,"건강상의 사유로 퇴사합니다."
37,pw37,B004,D002,G001,ROLE_B,홍길동37,남,mail37@mail.com,01012340036,13516,"경기 성남시 분당구 대왕판교로 513",37층,9501011234603,서울사이버대학교,2019-12-13,2020-12-26,35000000,600,NULL,100099000037,NULL,y,n,NULL,NULL,NULL,NULL,"건강상의 사유로 퇴사합니다."
38,pw38,B004,D002,G002,ROLE_A,홍길동38,여,mail38@mail.com,01012340037,13517,"경기 성남시 분당구 대왕판교로 514",38층,9501011234604,한국대학교,2019-12-14,2020-12-27,36000000,610,NULL,100099000038,NULL,y,n,NULL,NULL,NULL,NULL,"건강상의 사유로 퇴사합니다."
39,pw39,B002,D002,G001,ROLE_B,홍길동39,여,mail39@mail.com,01012340038,13518,"경기 성남시 분당구 대왕판교로 515",39층,9501011234605,서울대학교,2019-12-15,2020-12-28,37000000,620,NULL,100099000039,NULL,y,n,NULL,NULL,NULL,NULL,"건강상의 사유로 퇴사합니다."
40,pw40,B002,D003,G001,ROLE_B,강재근,여,mail40@mail.com,01012340039,13519,"경기 성남시 분당구 대왕판교로 516",40층,9501011234606,서울대학교,2019-12-16,2020-12-29,38000000,630,NULL,100099000040,NULL,y,n,NULL,NULL,NULL,NULL,"건강상의 사유로 퇴사합니다."
41,pw41,B002,D003,G001,ROLE_A,홍길동41,여,mail41@mail.com,01012340040,13520,"경기 성남시 분당구 대왕판교로 517",41층,9501011234607,서울대학교,2019-12-17,2020-12-30,39000000,640,NULL,100099000041,중국어,y,n,NULL,NULL,NULL,NULL,"일신상의 사유로 퇴사합니다."
42,pw42,B002,D003,G001,ROLE_A,홍길동42,여,mail42@mail.com,01050009000,13521,"경기 성남시 분당구 대왕판교로 518",42층,9501011234608,한국대학교,2019-12-18,2020-12-31,40000000,650,NULL,100099000042,NULL,y,n,NULL,NULL,NULL,NULL,"일신상의 사유로 퇴사합니다."
43,pw43,B002,D003,G002,ROLE_A,홍길동43,여,mail43@mail.com,01050009001,13522,"경기 성남시 분당구 대왕판교로 519",43층,9501011234609,서울대학교,2019-12-19,2021-01-01,30000000,660,NULL,100099000043,NULL,y,n,NULL,NULL,NULL,NULL,"일신상의 사유로 퇴사합니다."
44,pw44,B002,D003,G002,ROLE_A,강재근,남,mail44@mail.com,01050009002,13523,"경기 성남시 분당구 대왕판교로 520",44층,9501011234610,서울대학교,2019-12-20,2021-01-02,30000000,670,NULL,100099000044,"컴활1급 보유",y,n,NULL,NULL,NULL,NULL,"일신상의 사유로 퇴사합니다."
45,pw45,B002,D003,G001,ROLE_A,홍길동45,남,mail45@mail.com,01050009003,13524,"경기 성남시 분당구 대왕판교로 521",45층,9501011234611,수원대학교,2019-12-21,2021-01-03,30000000,680,NULL,100099000045,"정보처리기사 보유",y,n,NULL,NULL,NULL,NULL,"일신상의 사유로 퇴사합니다."
46,pw46,B002,D003,G001,ROLE_A,홍길동46,남,mail46@mail.com,01050009004,13525,"경기 성남시 분당구 대왕판교로 522",46층,9501011234612,서울대학교,2019-12-22,2021-01-04,30000000,690,NULL,100099000046,NULL,y,n,NULL,NULL,NULL,NULL,이직합니다.
47,pw47,B002,D003,G001,ROLE_B,홍길동47,남,mail47@mail.com,01050009005,13526,"경기 성남시 분당구 대왕판교로 523",47층,9501011234613,서울대학교,2019-12-23,2021-01-05,30000000,700,NULL,100099000047,NULL,y,n,NULL,NULL,NULL,NULL,이직합니다.
48,pw48,B002,D003,G001,ROLE_A,홍길동48,남,mail48@mail.com,01050009006,13527,"경기 성남시 분당구 대왕판교로 524",48층,9501011234614,서울대학교,2019-12-24,2021-01-06,30000000,710,NULL,100099000048,NULL,y,n,NULL,NULL,NULL,NULL,이직합니다.
49,pw49,B002,D003,G001,ROLE_A,홍길동49,남,mail49@mail.com,01050009007,13528,"경기 성남시 분당구 대왕판교로 525",49층,9501011234615,서울대학교,2022-10-05,NULL,30000000,720,NULL,100099000049,NULL,n,n,NULL,NULL,NULL,NULL,NULL
50,pw50,B004,D003,G001,ROLE_A,홍길동50,남,mail50@mail.com,01050009008,13529,"경기 성남시 분당구 대왕판교로 526",50층,9501011234616,고졸,2022-10-05,NULL,30000000,730,NULL,100099000050,NULL,n,n,NULL,NULL,NULL,NULL,NULL
51,pw51,B004,D003,G001,ROLE_A,홍길동51,남,mail51@mail.com,01050009009,13530,"경기 성남시 분당구 대왕판교로 527",51층,9501011234617,서울대학교,2022-10-05,NULL,30000000,740,NULL,100099000051,"영어 ",n,n,NULL,NULL,NULL,NULL,NULL
52,pw52,B004,D003,G001,ROLE_B,홍길동52,남,mail52@mail.com,01050009010,13531,"경기 성남시 분당구 대왕판교로 528",52층,9501011234618,서울대학교,2022-10-05,NULL,30000000,750,NULL,100099000052,NULL,n,n,NULL,NULL,NULL,NULL,NULL
53,pw53,B004,D003,G001,ROLE_A,홍길동53,남,mail53@mail.com,01050009011,13532,"경기 성남시 분당구 대왕판교로 529",53층,9501011234619,서울대학교,2022-10-05,NULL,30000000,760,NULL,100099000053,NULL,n,n,NULL,NULL,NULL,NULL,NULL
54,pw54,B004,D003,G001,ROLE_A,김종현,남,mail54@mail.com,01050009012,13533,"경기 성남시 분당구 대왕판교로 530",54층,9501011234620,서울대학교,2022-10-05,NULL,30000000,770,NULL,100099000054,"컴활2급 보유",n,n,NULL,NULL,NULL,NULL,NULL
55,pw55,B004,D003,G001,ROLE_A,홍길동55,남,mail55@mail.com,01050009013,13534,"경기 성남시 분당구 대왕판교로 531","101동 101호",9501011234621,서울대학교,2022-10-05,NULL,30000000,780,NULL,100099000055,"정보처리기사 보유",n,n,NULL,NULL,NULL,NULL,NULL
56,pw56,B002,D003,G002,ROLE_B,홍길동56,남,mail56@mail.com,01050009014,13535,"경기 성남시 분당구 대왕판교로 532","101동 102호",9501011234622,한양대학교,2022-10-05,NULL,30000000,790,NULL,100099000056,NULL,n,n,NULL,NULL,NULL,NULL,NULL
57,pw57,B002,D003,G001,ROLE_A,홍길동57,남,mail57@mail.com,01050009015,13536,"경기 성남시 분당구 대왕판교로 533","101동 103호",9501011234623,한양대학교,2022-10-05,NULL,30000000,800,NULL,100099000057,NULL,n,n,NULL,NULL,NULL,NULL,NULL
58,pw58,B002,D003,G001,ROLE_A,홍길동58,남,mail58@mail.com,01050009016,13537,"경기 성남시 분당구 대왕판교로 534","101동 104호",9501011234624,한국대학교,2022-10-05,NULL,31000000,810,NULL,100099000058,NULL,n,n,NULL,NULL,NULL,NULL,NULL
59,pw59,B002,D003,G001,ROLE_A,홍길동59,남,mail59@mail.com,01050009017,13538,"경기 성남시 분당구 대왕판교로 535","101동 105호",9501011234625,한국대학교,2022-10-05,NULL,32000000,820,NULL,100099000059,NULL,n,n,NULL,NULL,NULL,NULL,NULL
60,pw60,B002,D003,G001,ROLE_A,김종현,남,mail60@mail.com,01050009018,13539,"경기 성남시 분당구 대왕판교로 536","101동 106호",9501011234626,수원대학교,2022-10-05,NULL,33000000,830,NULL,100099000060,NULL,n,n,NULL,NULL,NULL,NULL,NULL
61,pw61,B002,D003,G001,ROLE_A,홍길동61,남,mail61@mail.com,01050009019,13540,"경기 성남시 분당구 대왕판교로 537","101동 107호",9501011234627,한국대학교,2022-10-05,NULL,34000000,840,NULL,100099000061,NULL,n,y,NULL,NULL,NULL,NULL,NULL
62,pw62,B002,D003,G001,ROLE_A,홍길동62,남,mail62@mail.com,01050009020,13541,"경기 성남시 분당구 대왕판교로 538","101동 108호",9501011234628,아주대학원,2022-10-05,NULL,35000000,850,NULL,100099000062,NULL,n,n,NULL,NULL,NULL,NULL,NULL
63,pw63,B002,D003,G001,ROLE_A,홍길동63,여,mail63@mail.com,01050009021,13542,"경기 성남시 분당구 대왕판교로 539","101동 109호",9501011234629,한국대학교,2022-10-05,NULL,36000000,860,NULL,100099000063,"영어 ",n,n,NULL,NULL,NULL,NULL,NULL
64,pw64,B002,D003,G001,ROLE_A,홍길동64,여,mail64@mail.com,01050009022,13543,"경기 성남시 분당구 대왕판교로 540","101동 110호",9501011234630,서울대학교,2022-10-05,NULL,37000000,870,NULL,100099000064,"영어 ",n,n,NULL,NULL,NULL,NULL,NULL
65,pw65,B002,D003,G001,ROLE_A,홍길동65,남,asdlkj1@naver.com,01050009023,13544,"경기 성남시 분당구 대왕판교로 541","101동 111호",9501011234631,서울대학교,2022-10-05,NULL,38000000,880,NULL,100099000065,"영어 ",n,n,NULL,NULL,NULL,NULL,NULL
66,pw66,B002,D003,G001,ROLE_A,이재권,남,asdlkj2@naver.com,01050009024,13545,"경기 성남시 분당구 대왕판교로 542","101동 112호",9501011234632,한양대학교,2022-10-05,NULL,39000000,890,NULL,100099000066,"영어 ",n,n,NULL,NULL,NULL,NULL,NULL
67,pw67,B002,D003,G001,ROLE_A,홍길동67,남,asdlkj3@naver.com,01050009025,13546,"경기 성남시 분당구 대왕판교로 543","101동 113호",9501011234633,한양대학교,2022-10-05,NULL,30000000,900,NULL,100099000067,"영어 ",n,n,NULL,NULL,NULL,NULL,NULL
68,pw68,B002,D003,G001,ROLE_A,홍길동68,여,asdlkj4@naver.com,01050009026,13547,"경기 성남시 분당구 대왕판교로 544","101동 114호",9501011234634,서울대학교,2022-10-05,NULL,31000000,910,NULL,100099000068,"영어 ",n,n,NULL,NULL,NULL,NULL,NULL
69,pw69,B002,D003,G001,ROLE_B,홍길동69,여,asdlkj5@naver.com,01050009027,13548,"경기 성남시 분당구 분당동 27","101동 115호",9501011234635,서울대학교,2022-10-05,NULL,32000000,920,NULL,100099000069,"영어 ",n,n,NULL,NULL,NULL,NULL,NULL
70,pw70,B002,D004,G001,ROLE_A,홍길동70,남,asdlkj6@naver.com,01050009028,13549,"경기 성남시 분당구 분당동 28","101동 116호",9501011234636,서울대학교,2022-10-05,NULL,33000000,930,NULL,100099000070,"중국어 ",n,n,NULL,NULL,NULL,NULL,NULL
71,pw71,B002,D004,G001,ROLE_A,이재권,남,asdlkj7@naver.com,01050009029,13550,"경기 성남시 분당구 분당동 29","101동 117호",9501011234637,고졸,2022-10-05,NULL,34000000,940,NULL,100099000071,NULL,n,n,NULL,NULL,NULL,NULL,NULL
72,pw72,B002,D004,G001,ROLE_C,홍길동72,여,asdlkj8@naver.com,01050009030,13551,"경기 성남시 분당구 분당동 30","101동 118호",9501011234638,서울대학교,2022-10-05,NULL,35000000,950,NULL,100099000072,NULL,n,n,NULL,NULL,NULL,NULL,NULL
73,pw73,B002,D004,G001,ROLE_A,홍길동73,남,asdlkj9@naver.com,01050009031,13552,"경기 성남시 분당구 분당동 31","101동 119호",9501011234639,서울대학교,2022-10-05,NULL,36000000,960,NULL,100099000073,NULL,n,y,NULL,NULL,NULL,NULL,NULL
74,pw74,B002,D004,G001,ROLE_A,홍길동74,여,asdlkj10@naver.com,01050009032,13553,"경기 성남시 분당구 분당동 32","101동 120호",9501011234640,서울대학교,2022-10-05,NULL,37000000,970,NULL,100099000074,NULL,n,n,NULL,NULL,NULL,NULL,NULL
75,pw75,B002,D004,G002,ROLE_A,홍길동75,여,asdlkj11@naver.com,01050009033,13554,"경기 성남시 분당구 분당동 33","101동 121호",9501011234641,고졸,2022-10-05,NULL,38000000,980,NULL,100099000075,NULL,n,n,NULL,NULL,NULL,NULL,NULL
76,pw76,B002,D004,G001,ROLE_A,김연준,여,asdlkj12@naver.com,01050009034,13555,"경기 성남시 분당구 분당동 34","303동 1001호",9501011234642,서울대학교,2022-10-05,NULL,39000000,990,NULL,100099000076,NULL,n,n,NULL,NULL,NULL,NULL,NULL
77,pw77,B003,D004,G001,ROLE_A,홍길동77,여,asdlkj13@naver.com,01050009035,13556,"경기 성남시 분당구 분당동 35","303동 1002호",9501011234643,수원대학교,2022-10-05,NULL,40000000,1000,NULL,100099000077,NULL,n,n,NULL,NULL,NULL,NULL,NULL
78,pw78,B003,D004,G001,ROLE_A,홍길동78,여,asdlkj14@naver.com,01050009036,13557,"경기 성남시 분당구 분당동 36","303동 1003호",9501011234644,서울대학교,2018-06-20,NULL,33000000,1010,NULL,100099000078,NULL,n,y,NULL,NULL,NULL,NULL,NULL
79,pw79,B003,D005,G001,ROLE_A,홍길동79,여,asdlkj15@naver.com,01050009037,13558,"경기 성남시 분당구 분당동 37","303동 1004호",9501011234645,아주대학교,2018-06-21,NULL,34000000,1020,NULL,100099000079,NULL,n,n,NULL,NULL,NULL,NULL,NULL
80,pw80,B003,D005,G001,ROLE_B,홍길동80,남,asdlkj16@naver.com,01050009038,13559,"경기 성남시 분당구 분당동 38","303동 1005호",9501011234646,서울대학교,2018-06-22,NULL,35000000,1030,NULL,100099000080,NULL,n,n,NULL,NULL,NULL,NULL,NULL
81,pw81,B003,D005,G001,ROLE_B,홍길동81,남,asdlkj17@naver.com,01050009039,13560,"경기 성남시 분당구 분당동 39","303동 1006호",9501011234647,한국대학교,2018-06-23,NULL,36000000,1040,NULL,100099000081,NULL,n,n,NULL,NULL,NULL,NULL,NULL
82,pw82,B003,D005,G002,ROLE_B,홍길동82,남,asdlkj18@naver.com,01050009040,13561,"경기 성남시 분당구 분당동 40","303동 1007호",9501011234648,서울대학교,2018-06-24,NULL,37000000,1050,NULL,100099000082,NULL,n,y,NULL,NULL,NULL,NULL,NULL
83,pw83,B003,D005,G001,ROLE_B,홍길동83,남,asdlkj19@naver.com,01050009041,13562,"경기 성남시 분당구 분당동 41","303동 1008호",9501011234649,아주대학교,2018-06-25,NULL,38000000,1060,NULL,100099000083,NULL,n,n,NULL,NULL,NULL,NULL,NULL
84,pw84,B003,D005,G001,ROLE_B,홍길동84,남,asdlkj20@naver.com,01050009042,13563,"경기 성남시 분당구 분당동 42","303동 1009호",9501011234650,한국대학교,2018-06-26,NULL,39000000,1070,NULL,100099000084,NULL,n,n,NULL,NULL,NULL,NULL,NULL
85,pw85,B003,D005,G001,ROLE_B,홍길동85,남,asdlkj21@naver.com,01050009043,13564,"경기 성남시 분당구 분당동 43","303동 1010호",9501011234651,서울대학교,2018-06-27,NULL,40000000,1080,NULL,100099000085,NULL,n,n,NULL,NULL,NULL,NULL,NULL
86,pw86,B003,D005,G001,ROLE_C,이재권,남,asdlkj22@naver.com,01050009044,13565,"경기 성남시 분당구 분당동 44","303동 1011호",9501011234652,아주대학교,2018-06-28,NULL,36000000,1090,NULL,100099000086,NULL,n,n,NULL,NULL,NULL,NULL,NULL
87,pw87,B003,D005,G001,ROLE_A,홍길동87,남,asdlkj23@naver.com,01050009045,13566,"경기 성남시 분당구 분당동 45","303동 1012호",9501011234653,수원대학교,2018-06-29,NULL,37000000,1100,NULL,100099000087,NULL,n,n,NULL,NULL,NULL,NULL,NULL
88,pw88,B003,D005,G001,ROLE_A,홍길동88,남,asdlkj24@naver.com,01050009046,13567,"경기 성남시 분당구 판교동 496","303동 1013호",9501011234654,서울대학교,2018-06-30,NULL,38000000,1110,NULL,100099000088,"중국어 ",n,n,NULL,NULL,NULL,NULL,NULL
89,pw89,B003,D005,G003,ROLE_A,홍길동89,남,asdlkj25@naver.com,01012340088,13568,"경기 성남시 분당구 판교동 497","303동 1014호",9501011234655,아주대학교,2018-07-01,NULL,39000000,1120,NULL,100099000089,NULL,n,n,NULL,NULL,NULL,NULL,NULL
90,pw90,B003,D005,G001,ROLE_A,홍길동90,남,asdlkj26@naver.com,01012340089,13569,"경기 성남시 분당구 판교동 498","303동 1015호",9501011234656,서울대학교,2018-07-02,NULL,40000000,1130,NULL,100099000090,NULL,n,n,NULL,NULL,NULL,NULL,NULL
91,pw91,B003,D005,G003,ROLE_A,홍길동91,남,asdlkj27@naver.com,01012340090,13570,"경기 성남시 분당구 판교동 499","303동 1016호",9501011234657,서울대학교,2018-07-03,NULL,30000000,1140,NULL,100099000091,NULL,n,y,NULL,NULL,NULL,NULL,NULL
92,pw92,B003,D005,G001,ROLE_A,홍길동92,여,asdlkj28@naver.com,01012340091,13571,"경기 성남시 분당구 판교동 500","303동 1017호",9501011234658,서울대학교,2018-07-04,NULL,30000000,1150,NULL,100099000092,NULL,n,n,NULL,NULL,NULL,NULL,NULL
93,pw93,B003,D005,G001,ROLE_B,홍길동93,여,asdlkj29@naver.com,01012340092,13572,"경기 성남시 분당구 판교동 501","303동 1018호",9501011234659,서울대학교,2018-07-05,NULL,30000000,1160,NULL,100099000093,"중국어 ",n,n,NULL,NULL,NULL,NULL,NULL
94,pw94,B004,D005,G001,ROLE_A,홍길동94,여,asdlkj30@naver.com,01012340093,13573,"경기 성남시 분당구 판교동 502","303동 1019호",9501011234660,서울대학교,2018-07-06,NULL,30000000,1170,NULL,100099000094,NULL,n,n,NULL,NULL,NULL,NULL,NULL
95,pw95,B004,D005,G003,ROLE_A,홍길동95,여,asdlkj31@naver.com,01012340094,13574,"경기 성남시 분당구 판교동 503","303동 1020호",9501011234661,고졸,2018-07-07,NULL,30000000,1180,NULL,100099000095,NULL,n,n,NULL,NULL,NULL,NULL,NULL
96,pw96,B004,D005,G001,ROLE_B,홍길동96,여,asdlkj32@naver.com,01012340095,13575,"경기 성남시 분당구 판교동 504","303동 1021호",9501011234662,서울대학교,2018-07-08,NULL,30000000,1190,NULL,100099000096,NULL,n,n,NULL,NULL,NULL,NULL,NULL
97,pw97,B004,D005,G002,ROLE_B,김연,여,asdlkj33@naver.com,01012340096,13576,"경기 성남시 분당구 판교동 505","303동 1022호",9501011234663,한양대학교,2018-07-09,NULL,30000000,1200,NULL,100099000097,NULL,n,n,NULL,NULL,NULL,NULL,NULL
